play_session_id,user_id,start_datetime,end_datetime,channel_code,status_code,total_score,duration_seconds
0,309,2024-12-11 12:26:22.670,2024-12-11 17:01:22.670,BROWSER,COMPLETED,1081,16500.0
1,179,2024-02-13 15:51:16.919,2024-02-13 22:17:16.919,MOBILE,ABORTED,4271,23160.0
2,314,2024-08-21 10:56:25.744,2024-08-21 15:17:25.744,BROWSER,TIMEOUT,2634,15660.0
3,492,2024-03-27 01:46:36.925,2024-03-27 10:05:36.925,MOBILE,ABORTED,3082,29940.0
4,369,2024-08-25 22:29:23.179,2024-08-26 00:54:23.179,MOBILE,TIMEOUT,3995,8700.0
5,59,2024-04-27 16:37:13.057,2024-04-27 23:33:13.057,MOBILE,TIMEOUT,3025,24960.0
6,408,2024-12-15 19:41:46.635,2024-12-16 02:26:46.635,BROWSER,TIMEOUT,1295,24300.0
7,358,2024-01-04 00:02:03.341,2024-01-04 08:28:03.341,MOBILE,ABORTED,154,30360.0
8,391,2024-06-10 01:46:47.635,2024-06-10 06:05:47.635,MOBILE,ABORTED,255,15540.0
9,360,2024-11-23 15:50:37.399,2024-11-23 22:32:37.399,MOBILE,TIMEOUT,2719,24120.0
10,326,2024-10-02 17:07:20.528,2024-10-02 19:58:20.528,BROWSER,COMPLETED,730,10260.0
11,431,2024-01-15 07:54:04.663,2024-01-15 14:50:04.663,MOBILE,TIMEOUT,4976,24960.0
12,55,2024-12-08 02:01:05.524,2024-12-08 05:05:05.524,BROWSER,TIMEOUT,3892,11040.0
13,62,2024-04-16 14:53:00.976,2024-04-16 15:09:00.976,MOBILE,TIMEOUT,3661,960.0
14,331,2024-01-26 19:20:26.408,2024-01-26 23:23:26.408,MOBILE,COMPLETED,168,14580.0
15,201,2024-10-15 07:49:44.134,2024-10-15 15:42:44.134,MOBILE,TIMEOUT,3211,28380.0
16,181,2024-08-19 10:01:17.003,2024-08-19 12:41:17.003,MOBILE,TIMEOUT,1154,9600.0
